fecha,producto_id,codigo,producto,categoria,corte,real,baseline,random_forest,horizonte_dias
2026-05-01,0952bcea-dcc1-484d-b422-b1a41871f4be,CER-001,Candado de bronce 40 mm,Cerrajería,2026-05-01,3.0000,3.5000,4.4575,7
2026-05-01,0b4327ce-a267-40d8-bc6b-74ab7d775d30,TOR-001,"Tornillo para madera 1"" (caja 100 u)",Tornillería,2026-05-01,37.0000,39.7500,41.9721,7
2026-05-01,126b5449-9df4-496e-a1b9-f527a5ea0c0a,CER-023,Candado de bronce 40 mm,Cerrajería,2026-05-01,8.0000,6.7500,10.2576,7
2026-05-01,30cf2d34-7ddc-45a8-9eac-4a9fc4cfa3f5,ELE-001,Cable THHN #12 (rollo 100 m),Eléctrico,2026-05-01,0.0000,2.0000,1.7797,7
2026-05-01,765694c8-9734-462c-a35f-797118e2e09e,PIN-001,Pintura acrílica blanca 1 galón,Pinturas,2026-05-01,19.0000,14.5000,16.4011,7
2026-05-01,92e71d63-18a8-434d-843c-bf74be57070f,HER-002,Cinta métrica 5 m,Herramientas,2026-05-01,17.0000,15.0000,18.0710,7
2026-05-01,9acb88c2-673a-4ca9-b665-b129976958bd,HER-001,Martillo de uña 16 oz,Herramientas,2026-05-01,6.0000,8.5000,9.5525,7
2026-05-01,DS-P010,FER-010,Mortero seco 40 kg,Construcción,2026-05-01,24.0000,24.7500,25.4770,7
2026-05-01,DS-P011,FER-011,Pegamento para cerámica 20 kg,Construcción,2026-05-01,9.0000,11.7500,15.4385,7
2026-05-01,DS-P012,FER-012,Impermeabilizante acrílico 1 galón,Construcción,2026-05-01,3.0000,1.7500,3.3026,7
2026-05-01,DS-P013,FER-013,Malla electrosoldada 6x6 (lámina),Construcción,2026-05-01,10.0000,6.7500,7.2656,7
2026-05-01,DS-P014,FER-014,Alambre de amarre (libra),Construcción,2026-05-01,34.0000,23.2500,26.8946,7
2026-05-01,DS-P015,FER-015,Tomacorriente doble polarizado,Eléctrico,2026-05-01,6.0000,15.0000,15.1010,7
